gen,ind,condenser_p_Pa,drum_p_Pa,pr_scale,efficiency_pct,total_MW
8,9,3000.0,4368519,1.0043,55.0154,511.0
8,10,3000.0,4309971,1.0040,55.0153,511.0
8,11,3000.0,4294806,1.0050,55.0155,511.0
8,12,3000.0,4387961,1.0053,55.0154,511.0
8,13,3000.0,4174926,0.9718,54.1941,503.4
8,14,3000.0,4986132,1.1669,53.9994,501.6
8,15,3000.0,4521055,1.0049,55.0155,511.0
8,16,3000.0,4690129,1.0068,55.0141,511.0
8,17,3000.0,4689129,1.0054,55.0154,511.0
8,18,3000.0,4680517,1.0049,55.0155,511.0
8,19,3000.0,4521055,1.0049,55.0155,511.0
9,0,3000.0,4736480,1.0050,55.0155,511.0
9,1,4106.3,4960783,1.0049,54.5338,506.5
9,2,3000.0,4523704,1.0049,55.0155,511.0
9,3,3000.0,4000000,1.0049,55.0155,511.0
9,4,3000.0,4087739,1.0047,55.0155,511.0
9,5,3000.0,4296952,1.0048,55.0155,511.0
9,6,3000.0,4447572,1.0048,55.0155,511.0
9,7,3000.0,4000000,1.0049,55.0155,511.0
9,8,3000.0,4398434,1.0047,55.0155,511.0
9,9,3000.0,4000000,0.9949,54.9704,510.6
9,10,3000.0,4420999,1.0046,55.0155,511.0
9,11,3000.0,4294806,1.0050,55.0155,511.0
9,12,3000.0,4534393,1.0053,55.0154,511.0
9,13,3530.1,4729289,1.0047,54.7677,508.7
9,14,3000.0,5554295,1.0053,55.0154,511.0
9,15,3000.0,4548206,1.0049,55.0155,511.0
9,16,3000.0,4313371,1.0046,55.0155,511.0
9,17,3000.0,4304686,1.0049,55.0155,511.0
9,18,3000.0,4077679,1.0047,55.0155,511.0
9,19,3000.0,4420999,1.0046,55.0155,511.0
10,0,3000.0,4080444,1.0047,55.0155,511.0
10,1,3000.0,4088232,1.0047,55.0155,511.0
10,2,3000.0,4352398,1.0047,55.0155,511.0
10,3,3000.0,4199501,1.0049,55.0155,511.0
10,4,3000.0,4313371,1.0046,55.0155,511.0
10,5,3000.0,4523704,1.0049,55.0155,511.0
10,6,3000.0,5376234,1.0049,55.0155,511.0
10,7,3000.0,5897990,1.0052,55.0154,511.0
10,8,3000.0,4277793,1.0046,55.0155,511.0
10,9,5053.1,4379868,0.9783,53.6403,498.2
10,10,3000.0,4077679,1.0047,55.0155,511.0
10,11,3000.0,4077679,1.0047,55.0155,511.0
10,12,3000.0,4555083,1.0047,55.0155,511.0
10,13,3000.0,4148881,1.0046,55.0155,511.0
10,14,3000.0,4420999,1.0046,55.0155,511.0
10,15,3000.0,4313371,1.0046,55.0155,511.0
10,16,3000.0,4161505,1.0049,55.0155,511.0
10,17,3000.0,4000000,0.8920,48.4895,450.4
10,18,3000.0,4077679,1.0047,55.0155,511.0
10,19,3000.0,4087739,1.0047,55.0155,511.0
